lyrics,mood
"Once in a while maybe you will feel the urge    To break international copyright law    By downloading M-P-3's from file-sharing sites    Like Morpheus or Grokster or LimeWire or KaZaA    But deep in your heart you know the guilt would drive you mad    And the shame would leave a permanent scar    'Cause you start out stealing songs, and then you're robbing liquor stores    And selling crack and running over school kids with your car        So don't download this song    The record store's where you belong    Go and buy the C-D like you know that you should    Oh don't download this song        Oh you don't want to mess with the are I double A    They'll sue you if you burn that C-D-are    It doesn't matter if you're a grandma or a 7-year-old girl    They'll treat you like the evil, hard-bitten criminal scum you are        So don't download this song    Don't go pirating music all day long    Go and buy the C-D like you know that you should    Oh, don't download this song        Don't take away money from artists just like me    How else can I afford another solid gold Humvee?    And diamond-studded swimming pools, these things don't grow on trees    So all I ask is everybody, please        Don't download this song (Don't do it, no, no)    Even Lars Urlich knows it's wrong (You can just ask him)    Go and buy the C-D like you know that you should (You really should)    Oh, don't download this song        Don't download this song (Oh please don't you do it)    Or you might wind up in jail like Tommy Chong (Remember Tommy)    Go and buy the C-D (Right Now) like you know that you should (Go out and buy  it)    Oh don't download this song        Don't download this song (No no no no no no)    Or you'll burn in Hell before too long (And you'd deserve it)    Go and buy the C-D (Just buy it) like you know that you should (Ya cheap  bastard)    Oh, don't download this song    ",anger
"Fun Zone doesn't really have any lyrics.    People occasionally say ""yeah"" and other similar phrases,    But it's generally just music.        In the movie,    It played in the background    When Stanley rode out in the miniature fire engine    At the beginning of an episode of Stanley Spadowski's Clubhouse.        The song is approximately    1 minute and 45 seconds long,    But it did not play in its entirety in the movie.    ",joy
"There he goes, he drives me crazy    When he says...(Hee-eere's Johnny!)    That's his job, it's so amazing    All he says is...(Hee-eere's Johnny!)    I never miss a moment when he's on the tube    His being there has made my life worth living    The chills run down my spine    Each time he says that line        ""Here's Johnny!"" He says, and laughs in his special way    ""...Johnny!"" he says, you know I love him    ""Here's Johnny!"" he says, and ""second fiddle"" is his game    Ed McMahon's his name...all right        Dressed so fine, he's such a cool dude    Hear him say...(Hee-eere's Johnny!)    Watch him selling beer and dog food    Hear him say...(Hee-eere's Johnny!)    I got a letter from him just the other day    He said, ""You may already be a winner!""    A trooper to the end    A Clydesdale's best friend        ""Here's Johnny!"" he says, and laughs in his special way    ""...Johnny!"" he says, you know I love him    ""Here's Johnny!"" he says, and that's the way he gets his pay    What a living        Oh...(Here's Johnny! Here's Johnny!) Wo-o-o, no    (Here's Johnny! Here's Johnny!) No no no no no no, I don't believe it    (Here's Johnny!) he says, and everytime it's just the same    Ed McMahon's his name        A very special guy...all right    He's on every night    Can't change the channel    When he's sitting on the panel    (Hee-eere's Johnny!)    There he goes, he gives me goose bumps    When he says...(Hey-O-Hey-Hey-O!)        ""Here's Johnny!"" he says, and laughs in his special way    ""...Johnny!"" he says, you know I love him    ""Here's Johnny!"" he says, that seems to be his claim to fame    Ed McMahon's his name      ",joy
"Isn't it strange? Feels like I'm lookin' in the mirror    What would people say if only they knew that I was    Part of some geneticist's plan    Born to be a carbon copy man    There in a petri dish late one night    They took a donor's body cell and fertilized a human egg and so I say        I think I'm a clone now    There's always two of me just a-hangin' around    I think I'm a clone now    'Cause every chromosome is a hand-me-down        Look at the way we go out walking close together    I guess you could say I'm really beside myself    I still remember how it began    They produced a carbon copy man    Born in a science lab late one night    Without a mother or a father    Just a test tube and a womb with a view        I think I'm a clone now    There's always two of me just a-hangin' around    I think I'm a clone now    'Cause every chromosome is a hand-me-down    I think I'm a clone now    And I can stay at home while I'm out of town    I think I'm a clone now    'Cause every pair of genes is a hand-me-down        Signing autographs for my fans    Come and meet the carbon copy man    Livin' in stereo, it's all right    Well I can be my own best friend and I can send myself for pizza, so I say        I think I'm a clone now    Another one of me's always hangin' around    I think I'm a clone now    'Cause every chromosome is a hand-me-down    I think I'm a clone now    I've been on Oprah Winfrey, I'm world renowned    I think I'm a clone now    And every pair of genes is a hand-me-down    I think I'm a clone now    Thats my genetic twin always hangin' around    I think I'm a clone now    'Cause every chromosome is a hand-me-down    ",fear
"I finally made it through med school    Somehow I made it through    I'm just an intern    I still make a mistake or two        I was last in my class    Barely passed at the institute    Now I'm trying to avoid, yah I'm trying to avoid    A malpractice suit        Hey, like a surgeon    Cuttin' for the very first time    Like a surgeon    Organ transplants are my line        Better give me all your gause nurse    This patient's fading fast    Complications have set in    Don't know how long he'll last        Let me see, that I.V.    Here we go time to operate    I'll pull his indsides out, pull his insides out    And see what he ate        Like a surgeon, hey    Cuttin' for the very first time    Like a surgeon    Here's a waiver for you to sign        Woe, woe, woe        It's a fact I'm a quack    The disgrace of the A.M.A.    'Cause my patients die, yah my patients die    Before they can pay        Like a surgeon, hey    Cuttin' for the very first time    Like a surgeon    Got your kidneys on my mind        Like a surgeon, ooh like a surgeon    When I reach inside    With my scalpel, and my forceps, and re-tractors    Oh oh, oh oh, woe, oh        Ooh baby, yeah    I can hear your heartbeat    For the very last time    ",sadness
"Here's a llama    There's a llama    And another little llama    Fuzzy Llama    Funny Llama    Llama Llama duck        Llama llama    Cheesecake llama    Tablet, brick, potato, llama    Llama llama mushroom llama    Llama llama duck        I was once a tree house    I lived in a cake    But I never saw the way    The orange slayed the rake    I was only three years dead    But it told a tale    And now listen little child    To the safety rail        Did you ever see a llama    Kiss a llama    On the llama    Llama's llama    Tastes of llama    Llama llama duck        Half a llama    Twice a llama    Not a llama    Farmer llama    Llama in a car    Alarm a llama    Llama duck        Is that how it's told now    Is it all so old    Is it made of lemon juice    Doorknob, ankle, cold    Now my song is getting thin    I've run out of luck    Time for me to retire now    And become a duck (x6)    ",fear
"I visit Mr. Frump in the hospital    I see him most every day    And when I see Mr. Frump in his iron lung    This is what I hear him say        why'know, Mr. Frump is my very best friend    He's never a chump or a tease    He never tells me lies, and best of all    He never disagrees        I bring him candy and flowers every afternoon    Sit down by his side and say ""Hi""    And then I ask him his opinion of the world situation    And I wait for Mr. Frump's reply, and Mr. Frump would say        Well, unfortunately, soon it came to be    Mr. Frump's dying day    And now I bring to you the very last thing    That Mr. Frump had to say....        (deep breathing, that fades and dies off)        Amen    ",sadness
"I need a vegematic!    I need a pocket fisherman!    I need a handy appliance    That'll scramble an egg while it's still inside its shell!    (Operators are standing by.    How does that make you feel?)    Help me.    Mr. Popeil!        I wanna shine some pennies!    I wanna mend some leather!    I wanna Krazy-glue my head to the bottom of a big steel girder!    (Please, no c.o.d.'s.    Don't miss out on this deal.)    Ah, help me.    Mr. Popeil!        Help me.    Mr. Popeil!    Mr. Popeil!    Mr. Popeil!        (whoa, whoa oh.)    It slices. it dices.    Look at that tomato!    You could even cut a tin can with it,    But you wouldn't want to!        Mr. Popeil, I'm in trouble.    Need your assistance on the double.    Oh no! now how am I gonna make    My old vinyl car top look like new?    Mr. Popeil!    Tell me, what am I s'posed to do?        Mr. Popeil!    Mr. Popeil!        (Now how much would you pay?)    But wait, there's more!    It's not sold in any store!    (Now how much would you pay?)    Don't answer yet,    Just look what else you get!    (Now how much would you pay?)    If you order today,    You get a ginsu knife and a smokeless ashtray!    (Now how much would you pay?)    Now how much would you pay?    Mr. Popeil, Mr. Popeil.    Mr. Popeil, Mr. Popeil.    Mr. Popeil, Mr. Popeil.    Mr. Popeil, Mr. Popeil.        Make me buy a garden weasel!    Make me buy a bamboo steamer!    Make me take advantage    Of this amazing tv offer!    (Call our toll-free number,    We'll make you such a deal.)    Aw, help me!    Mr. Popeil. I want it!    (Mr. Popeil.) well, I need it!    (Mr. Popeil.) I got to got to got to have it!    Mr. Popeil!    Mr. Popeil!    Hey!    ",joy
"Oh, my baby, my baby she don't want me no more    Ever since she saw his poster in that record store    She says the way he grinds his molars is really sexy    She thinks he's so darn dysfunctional and Generation X-why    She likes his brooding angst and his wild-eyed stare    Yeah, he's her very favorite slacker multi-millionaire        Well, my baby's in love with Eddie Vedder    She's all crazy 'bout that Eddie Vedder    Once she was mine, but now I better just forget her    Cause my baby's in love with Eddie Vedder        Now, every time I see him, well, he looks so grim    I guess it really must suck to be a rock star like him    What a pain in the butt to have so much success    Spending all his time moping and avoiding the press    But my girl can't get enough of his sullen demeanor    Like he's some bit tortured genius    And I'm some kinda wiener        Well, my baby's in love with Eddie Vedder    She's got a thing for that Eddie Vedder    Tell me, what can he do that I can't do better?    Now my baby's in love with    I said I said I said my baby's in love with Eddie Vedder    Head over heels for that Eddie Vedder        I knew we were headin' for disaster    When she caught me hangin' out at the Ticketmaster    Now she's got an unrequited adoration    For the frustrated, agitated, designated alienated    Spokesman for the disaffected grunge generation        Well, I don't wear Doc Martens and I don't wear flannel    And I don't boycott the music video channel    And I just can't compete with all that money and fame    But I know two can paly at this kinda game    Yeah, well, let's just see how jealous she'll get    When I start stalking Alanis Morissette        Well, my baby's in love with Eddie Vedder    She's all crazy 'bout that Eddie Vedder    Once she was mine but now I better just forget her    Cause my baby's in love with    I said I said I said my baby's in love with Eddie Vedder    Why'd she have to fall for that Eddie Vedder?    If she wants to leave me, I guess I better let her    Cause my baby's in love with Eddie Vedder    ",anger
"Peter Parker was pitiful    Couldn't have been any shyer    Mary Jane still wouldn't notice him    Even if his hair was on fire        But then one day he went to that science lab    That mutated spider came down    Oh, and now Peter crawls over everyone's walls    And he's swingin' all over town        La li la, li de da    La la, li le la da dumb        Sling us a web, you're the Spider-Man    Sling us a web tonight    'Cause we're all in the mood for a hero now    And there's evil doers to fight        Now Harry the rich kid's a friend of his    Who horns in on Mary Jane    But to his great surprise it seems she prefers guys    Who can kiss upside down in the rain        ""With great power comes great responsibility""    That's the catch phrase of old Uncle Ben    If you missed it, don't worry, they'll say the line    Again and again and again        Oh, la la la, di de da    La la, di di da da dom        Now Norman's a billionare scientist    Who never had time for his son    But then something went screw and before you knew he    Was trying to kill everyone        And he's ridin' around on that glider thing    And he's throwin' that weird pumpkin bomb    Yes, he's wearin' that dumb Power Rangers mask    But he's scarier without it on        Sling us a web, you're the Spider-Man    Sling us a web tonight    'Cause you're brave and you're strong and so limber now    But where'd you come up with those tights?        It's a pretty sad day at the funeral    Norman Osborn has bitten the dust    And I heard Harry's said he wants Spider-Man dead    Aw, but his buddy Pete he can trust        Oh, and M.J. is all hot for Peter now    Aw, but Peter, he just shuts her down    Mary Jane, don't you cry, you can give it a try    Again when the sequal comes 'round        Oh, la la la, di de da    La la, di di da da dumb        Sling us a web, you're the Spider-Man    Sling us a web tonight    'Cause we all sure could use us a hero now    And we think that you'll do all right    ",sadness
"Got to work late 'cause my alarm was busted    The boss chewed me out and everybody's disgusted    'Cause it's just one of those days    It's just one of those days        I lost one of my socks in the drier    I can't find my wallet and my hair is on fire    Just one of those days    It's just one of those days        I just wrapped my Cadillac around a tree    A big swarm of locusts is following me    There's not even anything good on TV    It's just one of those days    It's just one of those days        Left all my Beatles records out in the sun    Got a Coke bottle stuck on the end of my tongue    It's just one of those days    Gonna be one of those days        The Nazis tied me up and covered me with ants    And I spilled toxic waste on my brand new pants    Just one of those days    Ever have one of those days?        The bank called me up and told me I'm overdrawn    Some freaks are burnin' crosses out on my front lawn    And I can't believe it, all the Cheetos are gone!    It just...just one of those, one of those days    Just one of those, one of those days        The F.B.I. has got a tap on my phone    Those darn Russian spies won't leave me alone    Shouldn't have got up this morning, shoulda known    It's just one of those days    It's just one of those days        A 747 crashed into my den    And there's nothin' but tater tots for dinner again    It's just one of those days    Never mind, it's just one of those days        Big steamroller just ran over my mom    And I cut myself shaving and they're dropping the bomb    It's just one of those days    That's all, it's just one of those days        Then late at night, just before I go to bed    The world blows up and now everybody's dead    You just can't deny it, it's just like I said    Just...just one of those, one of those days    Just one of those days, one of those days    ",anger
"Finger food and an ice cold keg    It won't cost you an arm and a leg    Dance all night to a rotten band    Come on, people, let's give 'em a hand        Saturday night, it's the place to be    Everybody cut footloose with me    At the party at the leper colony    Oh, there's a party at the leper colony    Hey        Met a little lady so pretty and young    She was quite a little talker 'till the cat got her tongue    She oozed up beside me, I turned on my charm    Well, pretty soon she was completely disarmed        I said, ""Girl, now don't fall to pieces on me""    But she cried her eyes out - literally    At the party at the leper colony    Oh, there's a party at the leper colony    Hey, hey        Hey now, buddy, don't you give me no lip    Sorry I was using your head for dip    There's a guy in the hot tub, I don't know who    Wait a minute, it looks like Stu        Well, hold the phone now, what do I see?    Another pretty mama got her eye on me    At the party at the leper colony    Oh, there's a party at the leper colony        There's a party at the leper colony    (Party at the leper colony)    There's a party at the leper colony    (Party at the leper colony)        Oh, there's a party at the leper colony    Yeah, party at the leper colony    Well, there's a party at the leper colony    (Party at the leper colony)    Hey    ",anger
"I moved out to Langley recently    With a plain and simple dream    Wanna infiltrate some third-world place    And topple their regime        Those men in black with their matching suitcases    Where everything's on a need-to-know basis    Agents got that swagger    Everyone so cloak and dagger        I'm feelin' nervous but I'm really kinda wishing    For an undercover mission        That's when the red alert came on the radio    And I put my earpiece on    Got my dark sunglasses on    And I had my weapon drawn        So I get my handcuffs    My cyanide pills    My classified dossier        Tappin' the phones like yeah    Shreddin' the files like yeah    And then I rised all the enemy spies    I've got to neutralize today        Yeee-aaa-hhh, it's a party in the CIA    Yeee-aaa-hhh, it's a party in the CIA        I've done a couple of crazy things    That have almost gotten me dismissed    Like terminate some head of state    Who wasn't even on my list        Burn that microfilm buddy, will you    I'd tell you why but then I'd have to kill you    You need a quickie confession?    Well, start a water boarding session        No hurry on the south American dictator    I'll assassinate him later    That's when he walked right in my laser sights    And my silencer was on and my silencer was on    And another target's gone        Yeah, we've got our black ops all over the world    From Kazakhstan to Bombay    Payin' the bribes like yeah    Pluggin' the leaks like yeah    Interrogating the scum of the earth    We'll break them by the break of day!        Yeee-aaa-hhh, it's a party in the CIA    Yeee-aaa-hhh, it's a party in the CIA        Need a country to stabilize? (stabilize)    Look no further, we're your guys (we're your guys)    We've got snazzy suits and ties (suits and ties)    And a better dental plan than the FBI's        Better put your hands up and get in the van    Or else you'll get blown away    Stagin' a coup like yeah    Brainwashin' moles like yeah,    We only torture the folks we don't like    You're probably going to be OK        Yeee-aaa-hhh, it's a party in the CIA    Yeee-aaa-hhh, it's a party in the CIA    ",fear
"Krabby, Snubbull, Venonat,    Mankey, Chansey and Zubat    Slowking, Ditto, Butterfree,    Lugia and Caterpie    Oddish, Poliwag, Goldeen,    Elekid and Nidoqueen    Victreebel and Magneton - Everybody Polkamon!    Aerodactyl, Seel, Machoke,    Marill, Moltres, then Slowpoke,    Articuno, Ditto, Muk,    Flareon and ol' Psyduck    Cloyster, Kingler, Shellder, Gloom,    Snorlax and of course Vileplume    Zapdos and Charmeleon - Everybody Polkamon!    It's time to polka    For Ponyta and Pidgey too    Come on put on your lederhosen    And try not to stamp on little Pikachu    You'd better grab yourself a partner    Like Tentacruel or Bulbasaur (Bulbasaur!)    Hold on a minute - there's still at least a hundred and twenty-seven more    Including Ledyba and Omastar    Jynx, Bellossom and Magmar    Geodude and Arcanine    Jiggypuff and Mr. Mime    Don't forget about Sandslash,    Exeggcute and Rapidash    Lickitung and Porygon - Everybody Polkamon!    Everybody Polkamon!    Everybody Polkamon!          ",joy
"We all used to call him Jimmy the Geek    He was a dumb-lookin', scrawny, little four-eyed freak    He never used to hang around with the guys    He'd just sit in the corner, attractin' the flies        He wasn't much to look at    He never was very bright    But at least there was one thing that he could do all right    That boy could dance        He was kind of a jerk    He was kind of a bore    But the women would scream when he walked in the door    'cause one thing I could tell you for sure    That boy could dance        Picking teams, he would always be last    He couldn't run very far,    He couldn't think very fast    If he was on your side, you'd always lose    The guy had a problem, even tying his shoes        He never passed his drivers test    He was always afraid of cars    And he had a complexion that resembled the surface of Mars    But that boy could dance        Well, his hair was a mess    And his clothes didn't fit    He smelled pretty bad, and he drooled just a bit    But you gotta admit    Boy, that boy could dance        Now that boy is much older    He's got his own dance studio    He's got a teeny bopper fan club    Yeah, he's got his own TV show    Now he owns half of Montana    They all call him ""Diamond Jim""    And you know I'd do anything if I could be just like him    'cause that boy could dance    ",sadness
"Well, hey how ya doin' have a seat, have a drink    Boy it's good to see you, what can I say?    Oh, sorry gotta run we'll get together again    Say, what was your name anyway?    Well we're working on the problem, we'll get back to you soon    But don't try to call me I'll be in a meeting every afternoon    For a year maybe longer keep in touch    Thanks for dropping by and have a nice day    The check's in the mail, hey! You're beautiful    Don't ever change you know what I mean    My girl will call your girl we'll talk, we'll do lunch    Or leave a message on my machine    So baby won't you sign on the dotted line    I'm gonna make your dreams come true    The check's in the mail, would I lie to you?    Well hey wait a minute what's the matter hold on    You want me to fork over the loot?    You say you hate my guts you wanna take me to court    And you got yourself a lawyer with a three-piece suit?    Well I'm proud to say you're not the only critic of mine, yeah    So if you wanna sue me I'm afraid you're gonna have to wait in line    Take a number thanks for calling who loves you baby    Don't forget to read the fine print    The check's in the mail, hey! You're beautiful    Don't ever change you know what I mean    My girl will call your girl we'll talk, we'll do lunch    Or leave a message on my machine    So baby won't you sign on the dotted line    I'm gonna make your dreams come true    The check's in the mail, would I lie to you?    Oh, trust me!    The check's in the mail, hey! You're beautiful    Don't ever change you know what I mean    Why don't you leave a message with my girl    I'll have lunch with your machine    So baby won't you sign on the dotted line    I'm gonna make your dreams come true    The check's in the mail, would I lie to you?    The check's in the mail, would I lie to you?      ",joy
"Fat and weak, what a disgrace    Guess the champ got too lazy    Ain't gonna fly now he's just takin' up space    Sold his gloves, threw his eggs down the drain        But he's no bum, he works down the street    He bought the neighborhood deli    Back on his feet, now he's choppin' up meat    Come inside maybe you'll hear him say        Try the rye or the kaiser they're our special tonight    If you want you can have an appetizer    You might like our salami and the liver's all right    And they'd really go well with the rye or the kaiser        Never eats while on the job    He heard it's good to stay hungry    But he makes a pretty mean shishkabob    Have a taste they were made fresh today        Try the rye or the kaiser or the wheat or the white    Maybe I can suggest an appetizer    Stay away from the tuna it smells funny tonight    But you just can't go wrong with the rye or the kaiser        So today, his deli comes first    Still he dreams of his past days of glory    Goes in the back and beats up on the liverwurst    All the while you can still hear him say        It's the rye or the kaiser, it's the thrill of one bite    Let me please be your catering advisor    If you want substitutions I won't put up a fight    You can have your roast beef on the rye or the kaiser        The rye or the kaiser    The rye or the kaiser    The rye or the kaiser    ",sadness
"They only show you their gums when they smile    Ain't got a tooth in their heads now, how vile    Only can eat things like pudding and applesauce    They never have to buy toothpicks or dental floss        Hey, stand up    Toothless people, their breath is lethal, want to tell you    Hey, come on, stand up, get on your feet    Toothless people, old and feeble, what I say        No more of those pearly whites will they possess    Their oral hygiene is frightful, a mess    Lots of 'em suffering from trench mouth and gum disease    At least they don't have to worry 'bout cavities        Hey, stand up, take out your teeth    Toothless people, old and feeble, oh yes        You can brush 'em, you can floss 'em    They're something you just can't ignore    If you lose 'em, you're in trouble    'Cause the tooth fairy won't come no more    You need something to show your dentist    The next time he makes you say ""Ah""    You don't want to have to wind up    Eating all of your food through a straw        (Like toothless people, toothless people)    You'd better brush your teeth now (hey)    Toothless, toothless, toothless, toothless people    Hey, stand up, toothless people    ",anger
"I'm drivin' a truck    Drivin' a big ol' truck    Pedal to the metal, hope I don't run out of luck    Rollin' down the highway until the break of dawn    Drivin' a truck with my high heels on        My diesel rig is northward bound    It's time to put that hammer down    Just watchin' as the miles go flyin' by    I'm ridin' twenty tons of steel    But it's sure hard to hold the wheel    While I'm still waiting for my nails to dry        Oh, I always gotta check my lipstick in that rear view mirror    And my pink angora sweater fits so tight    I'm jammin' gears and haulin' freight    Well, I sure hope my seams are straight    Lord, don't let my mascara run tonight        Because I'm drivin' a truck    Drivin' a big ol' truck    Smokey's on my tail and my accelerator's stuck    Got these eighteen wheels a-rollin until the break of dawn    Drivin' a truck with my high heels on        Oh, I don't mind when my crotchless panties creep right up on me    And my nipple rings don't bother me too much    But when I hit those big speed bumps    My darling little rhinestone pumps    Keep slippin' off the mother-lovin' clutch        But still I'm drivin' a truck    Drivin' a big ol' truck    Headin' down the interstate, just tryin' to make buck    Wearin' feather boas with sequins and chiffon    While I'm drivin' a truck with my high heels on        I'm drivin' a truck    Drivin' a truck    Got a load to carry and some eyebrows left to pluck    And I'm late for my appointment down at the hair salon    So I'll be drivin' a truck with my high heels on    ",joy
"[Verse 1] Oh why you look so sad The tears are in your eyes Come on and come to me now Don’t be ashamed to cry Let me see you through 'Cause I've seen the dark side too  [Verse 2] When the night falls on you You don't know what to do Nothing you confess Could make me love you less  [Chorus] I’ll stand by you I’ll stand by you Won’t let nobody hurt you I’ll stand by you  [Verse 3] So if you're mad get mad Don’t hold it all inside Come on and talk to me now Hey, what you got to hide I get angry too Well I’m a lot like you [Verse 4] When you're standing at the crossroads And don't know which path to choose Let me come along Cause even if you're wrong  [Chorus] I’ll stand by you I’ll stand by you Won’t let nobody hurt you I’ll stand by you Take me in into you darkest hour And I’ll never desert you I’ll stand by you  [Bridge] And when, when the night falls on you, baby You feeling all alone You won't be on your own  [Chorus] I’ll stand by you I’ll stand by you Won’t let nobody hurt you I’ll stand by you Take me in into you darkest hour And I’ll never desert you I’ll stand by you [Outro] Oh I’ll stand by you I’ll stand by you",sadness
"[Verse 1] From a phone booth in Cheyenne I made a promise to Diane No more rodeos I'd gone my last go-'round The same promise that I made In San Antone and Santa Fe But tonight I saddled up And let her down  [Chorus] Wild horses keep draggin' me away And I'll lose more than I'm gonna win someday Wild horses just stay wild, and her heart is all I break Wild horses keep draggin' me away  [Verse 2] She'll watch me drive around her block Gettin' courage up to stop To make her one more promise That I can't keep The way I love the rodeo I guess I should let her go Before I hurt her more Than she loves me [Chorus] Wild horses keep draggin' me away And I'll lose more than I'm gonna win someday Wild horses just stay wild, and her heart is all I break Wild horses keep draggin' me away  [Outro] Wild horses keep draggin' me away And I'll lose more than I'm gonna win someday Wild horses just stay wild, and her heart is all I break Wild horses keep draggin' me away",anger
Our guardian star lost all it's glow    The day that I lost you    It lost all its glitter the day you said no    And its grey stars turned to blue    Like him I am doubtful that your love is true    So if you decide to call on me    Ask for Mr. Blue    I'm Mr. Blue    When you say you love me    Then prove it by going out on the sly    Provin' your love is untrue    Call me Mr. Blue    I sleep alone each night    Wait by the phone each night    But you don't call    And I won't hurt my pride    Call me mister    I won't tell you    When you paint the town    A bright red to turn it upside down    I'm painting it too    But I'm painting it blue    I sleep alone each night    Wait by the phone each night    But you don't call    And I won't hurt my pride    Call me mister    I won't tell you    When you paint the town    A bright red to turn it upside down    I'm painting it too    But I'm painting it blue    Call me Mr. Blue    Call me mister    ,sadness
"It don't matter to the sun    If you go or if you stay    I know the sun is gonna rise    Shine down on another day    There will still be a tomorrow    Even if you choose to leave    'Cause it don't matter to the sun (oh baby)    It matters to me        It ain't gonna stop the world    If you walk out that door    This old world will just keep on turning 'round (Turning 'round)    Like it did the day before    'Cause see to them it makes no difference (ohh)    It just keeps on keepin' time    'Cause it ain't gonna stop the world (Oh baby)    But it'll be the end of mine        What can I say    What can I do    I'm still in love    So without you...        (GuitarPiano solo)    Mmm mmm mmm, oh yeah, oh yeah    What can I say    What can I do    I'm still in love    So without you        It don't matter the moon    If your not in my life    No the moon will just keep hangin' 'round (hangin' 'round)    Like it's just another night    Find another place to shine on down    On some other lovers dreams    'Cause it don't matter the moon (oh baby)    But is sure do matter to me    No it don't matter to the moon (oh baby)    But it matters to me    ",joy
"Twenty-five minutes past quiting time    Seven of us crammed into that truck of mine    Payin' no attention to them highway signs    Ninety mile an hour toward the county line        Quick sack, twelve pack, back again    It's a B - double E - double are - you - N        My buddies and their babies lettin' down their hair    As long as we're together it don't matter where    Ain't got a lot of money but we just don't care    Knowing that the fun is in the gettin' there        Aztec, long necks, paycheck spent    Oh it's a B - double E - double are - you - N        I can't stop thinkin' what the Hell they were drinkin'    When they made this county dry    I got a week long thirst and to make it worse    Lord it's my turn to drive        Oh, laughin' and a braggin' and a carryin' on    We loaded up the wagons and we're headin' home    I guess half a dozen cases doesn't last that long    Come tomorrow morning it'll be all gone        And it's turn around, leave town, sounds again    Like a B - double E - double are - you - N    Like a B - double E - double are - you - N    ",joy
On the 4th day of Christmas    Justin Bieber gave to me    4 concert tickets    3 pairs of Nikeys    2 hair flips    1 less lonely girl        On the 6th day of Christmas    Justin Bieber gave to me    6 cool scarfs    5 pairs of Supras    4 concert tickets    3 pairs of Nikeys    2 hair flips    1 less lonely girl        On the 9th day of Christmas    Justin Bieber gave to me    9 no 1 songs    8 plaid shirts    7 new hats    6 cool scarfs    5 pairs of Supras    4 concert tickets    3 pairs of Nikeys    2 hair flips    1 less lonely girl    ,sadness
"[Verse 1] Like birds on a high line They line up at night time at the bar They all once were lovebirds Now bluebirds are all that they are They landed in hell The minute they fell from love's sky And now they hope in the wine That they'll find a new way to fly  [Chorus] A new way to fly Far away from goodbye Above the clouds and the rain, the memories and pain And the tears that they cry Now the lesson's been learned They've all crashed and burned But they can leave it behind if they could just find A new way to fly  [Verse 2] By the end of the night They'll be high as a kite, once again And they don't seem to mind all the time Or the money they spend And it's a high price to pay To just find a way to get by But it's worth every dime If they find a new way to fly [Chorus] A new way to fly Far away from goodbye Above the clouds and the rain, the memories and pain And the tears that they cry Now the lesson's been learned They've all crashed and burned But they can leave it behind if they could just find A new way to fly  [Outro] They'll leave it behind, as soon as they find A new way to fly",joy
"[Verse 1] Somedays won't end ever and somedays pass on by I'll be working here forever, at least until I die Dammed if you do, dammed if you don't I'm supposed to get a raise week, you know damn well I won't  [Chorus] Working for a living[x2] Working for a living, living and working I'm taking what they giving because I'm working for a living  [Verse 2] Hey I'm not complaining because I really need the work Hitting up my buddy's got me feeling like a jerk Car payment, insurance,alimony, rent I get a check on Friday, but it's all ready spent  [Chorus] Oh, Working for a living Oh, taking what they giving Oh, Working for a living Oh, ooh [Verse 3] Bus boy, bartender, ladies of the night Grease monkey, ex-junky, winner of the fight Walking on the streets its really all the same Nascar,Rock star, any other day  [Chorus][x2]",anger
[Hook] I feel I feel free Couple bands got the check on me On the Xan yeah I swear it's so sweet If she lit and that bitch on fleek Let's run away and shorty let's be free Watch my wrist yeah I whip it with the yolk That's your girl yeah she say she love the coke Brought the chain I'm the muhfucking key Come on baby let's be free  [Verse 1] This is not a wave Fuck being a slave This is (?) All you fuckboys sat aside Choking on the gas like the Holocaust When I go and buy swear I never ask the cost I'm keeping it real This is how I feel No you not a dime But I really want some time Cause you growing up Never sober up Money and the drugs now shawty wanna fuck Yeah we living young yeah [Hook] I feel I feel free Couple bands got the check on me On the Xan yeah I swear it's so sweet If she lit and that bitch on fleek Let's run away and shorty let's be free Watch my wrist yeah I whip it with the yolk That's your girl yeah she say she love the coke Brought the chain I'm the muhfucking key Come on baby let's be free  [Outro Verse] Let down your hair Come on and smoke Or we could chill Or we could fuck Be free I don't care Carefree that be carefree  {Outro Hook] If she lit and that bitch on fleek Let's run away and shorty let's be free Watch my wrist yeah I whip it with the yolk That's your girl yeah she say she love the coke Brought the chain I'm the muhfucking key Come on baby let's be free Let's be free Let's run and away and let's be free,joy
